date,day_of_week,hour,minute,place,students_count,is_holiday
2025-02-17,0,7,45,Mega Towers,55,0
2025-02-17,0,8,15,LHC-C,1,0
2025-02-17,0,12,30,LHC-D,53,0
2025-02-17,0,13,15,Girls Hostel,9,0
2025-02-17,0,17,30,LHC-C,33,0
2025-02-17,0,21,0,Library,15,0
2025-02-18,1,7,30,Karavali Hostel,51,0
2025-02-18,1,12,0,LHC-C,55,0
2025-02-18,1,17,15,Adke Circle,29,0
2025-02-18,1,20,30,Guest House,11,0
2025-02-18,1,22,0,Library,13,0
2025-02-19,2,8,0,Girls Hostel,47,0
2025-02-19,2,12,45,LHC-D,48,0
2025-02-19,2,17,0,Library,37,0
2025-02-19,2,18,30,NITK Beach,27,0
2025-02-19,2,21,15,Mega Towers,20,0
2025-02-20,3,7,45,Girls Co-Op,50,0
2025-02-20,3,12,30,LHC-C,46,0
2025-02-20,3,17,45,LHC-D,41,0
2025-02-20,3,19,0,Adke Circle,18,0
2025-02-20,3,22,15,Library,9,0
2025-02-21,4,8,15,Mega Towers,51,0
2025-02-21,4,12,0,LHC-D,39,0
2025-02-21,4,16,30,LHC-C,36,0
2025-02-21,4,17,45,NITK Beach,43,0
2025-02-21,4,20,0,Adke Circle,25,0
2025-02-24,0,7,45,Mega Towers,48,0
2025-02-24,0,8,15,LHC-C,8,0
2025-02-24,0,12,30,LHC-D,54,0
2025-02-24,0,13,15,Girls Hostel,16,0
2025-02-24,0,17,30,LHC-C,40,0
2025-02-24,0,21,0,Library,22,0
2025-02-25,1,7,30,Karavali Hostel,44,0
2025-02-25,1,12,0,LHC-C,47,0
2025-02-25,1,17,15,Adke Circle,22,0
2025-02-25,1,20,30,Guest House,18,0
2025-02-25,1,22,0,Library,6,0
2025-02-26,2,8,0,Girls Hostel,39,0
2025-02-26,2,12,45,LHC-D,56,0
2025-02-26,2,17,0,Library,29,0
2025-02-26,2,18,30,NITK Beach,19,0
2025-02-26,2,21,15,Mega Towers,12,0
2025-02-27,3,7,45,Girls Co-Op,42,0
2025-02-27,3,12,30,LHC-C,54,0
2025-02-27,3,17,45,LHC-D,33,0
2025-02-27,3,19,0,Adke Circle,26,0
2025-02-27,3,22,15,Library,17,0
2025-02-28,4,8,15,Mega Towers,59,0
2025-02-28,4,12,0,LHC-D,47,0
2025-02-28,4,16,30,LHC-C,28,0
2025-02-28,4,17,45,NITK Beach,35,0
2025-02-28,4,20,0,Adke Circle,33,0
2025-03-03,0,7,45,Mega Towers,56,0
2025-03-03,0,8,15,LHC-C,2,0
2025-03-03,0,12,30,LHC-D,46,0
2025-03-03,0,13,15,Girls Hostel,8,0
2025-03-03,0,17,30,LHC-C,32,0
2025-03-03,0,21,0,Library,14,0
2025-03-04,1,7,30,Karavali Hostel,52,0
2025-03-04,1,12,0,LHC-C,56,0
2025-03-04,1,17,15,Adke Circle,30,0
2025-03-04,1,20,30,Guest House,10,0
2025-03-04,1,22,0,Library,14,0
2025-03-05,2,8,0,Girls Hostel,48,0
2025-03-05,2,12,45,LHC-D,47,0
2025-03-05,2,17,0,Library,38,0
2025-03-05,2,18,30,NITK Beach,28,0
2025-03-05,2,21,15,Mega Towers,21,0
2025-03-06,3,7,45,Girls Co-Op,51,0
2025-03-06,3,12,30,LHC-C,45,0
2025-03-06,3,17,45,LHC-D,42,0
2025-03-06,3,19,0,Adke Circle,17,0
2025-03-06,3,22,15,Library,8,0
2025-03-07,4,8,15,Mega Towers,50,0
2025-03-07,4,12,0,LHC-D,38,0
2025-03-07,4,16,30,LHC-C,37,0
2025-03-07,4,17,45,NITK Beach,44,0
2025-03-07,4,20,0,Adke Circle,24,0
2025-03-10,0,7,45,Mega Towers,47,0
2025-03-10,0,8,15,LHC-C,9,0
2025-03-10,0,12,30,LHC-D,55,0
2025-03-10,0,13,15,Girls Hostel,17,0
2025-03-10,0,17,30,LHC-C,41,0
2025-03-10,0,21,0,Library,23,0
2025-03-11,1,7,30,Karavali Hostel,43,0
2025-03-11,1,12,0,LHC-C,46,0
2025-03-11,1,17,15,Adke Circle,21,0
2025-03-11,1,20,30,Guest House,19,0
2025-03-11,1,22,0,Library,5,0
2025-03-12,2,8,0,Girls Hostel,38,0
2025-03-12,2,12,45,LHC-D,57,0
2025-03-12,2,17,0,Library,28,0
2025-03-12,2,18,30,NITK Beach,18,0
2025-03-12,2,21,15,Mega Towers,11,0
2025-03-13,3,7,45,Girls Co-Op,41,0
2025-03-13,3,12,30,LHC-C,55,0
2025-03-13,3,17,45,LHC-D,32,0
2025-03-13,3,19,0,Adke Circle,27,0
2025-03-13,3,22,15,Library,18,0
2025-03-14,4,8,15,Mega Towers,60,0
2025-03-14,4,12,0,LHC-D,48,0
2025-03-14,4,16,30,LHC-C,27,0
2025-03-14,4,17,45,NITK Beach,34,0
2025-03-14,4,20,0,Adke Circle,34,0
2025-03-17,0,7,45,Mega Towers,57,0
2025-03-17,0,8,15,LHC-C,1,0
2025-03-17,0,12,30,LHC-D,45,0
2025-03-17,0,13,15,Girls Hostel,7,0
2025-03-17,0,17,30,LHC-C,31,0
2025-03-17,0,21,0,Library,13,0
2025-03-18,1,7,30,Karavali Hostel,53,0
2025-03-18,1,12,0,LHC-C,57,0
2025-03-18,1,17,15,Adke Circle,31,0
2025-03-18,1,20,30,Guest House,9,0
2025-03-18,1,22,0,Library,15,0
2025-03-19,2,8,0,Girls Hostel,49,0
2025-03-19,2,12,45,LHC-D,46,0
2025-03-19,2,17,0,Library,39,0
2025-03-19,2,18,30,NITK Beach,29,0
2025-03-19,2,21,15,Mega Towers,22,0
2025-03-20,3,7,45,Girls Co-Op,52,0
2025-03-20,3,12,30,LHC-C,44,0
2025-03-20,3,17,45,LHC-D,43,0
2025-03-20,3,19,0,Adke Circle,16,0
2025-03-20,3,22,15,Library,7,0
2025-03-21,4,8,15,Mega Towers,49,0
2025-03-21,4,12,0,LHC-D,37,0
2025-03-21,4,16,30,LHC-C,38,0
2025-03-21,4,17,45,NITK Beach,45,0
2025-03-21,4,20,0,Adke Circle,23,0
2025-03-24,0,7,45,Mega Towers,46,0
2025-03-24,0,8,15,LHC-C,10,0
2025-03-24,0,12,30,LHC-D,56,0
2025-03-24,0,13,15,Girls Hostel,18,0
2025-03-24,0,17,30,LHC-C,42,0
2025-03-24,0,21,0,Library,24,0
2025-03-25,1,7,30,Karavali Hostel,42,0
2025-03-25,1,12,0,LHC-C,45,0
2025-03-25,1,17,15,Adke Circle,20,0
2025-03-25,1,20,30,Guest House,20,0
2025-03-25,1,22,0,Library,4,0
2025-03-26,2,8,0,Girls Hostel,37,0
2025-03-26,2,12,45,LHC-D,58,0
2025-03-26,2,17,0,Library,27,0
2025-03-26,2,18,30,NITK Beach,17,0
2025-03-26,2,21,15,Mega Towers,10,0
2025-03-27,3,7,45,Girls Co-Op,40,0
2025-03-27,3,12,30,LHC-C,56,0
2025-03-27,3,17,45,LHC-D,31,0
2025-03-27,3,19,0,Adke Circle,28,0
2025-03-27,3,22,15,Library,19,0
2025-03-28,4,8,15,Mega Towers,40,0
2025-03-28,4,12,0,LHC-D,49,0
2025-03-28,4,16,30,LHC-C,26,0
2025-03-28,4,17,45,NITK Beach,33,0
2025-03-28,4,20,0,Adke Circle,35,0
2025-03-31,0,7,45,Mega Towers,58,0
2025-03-31,0,8,15,LHC-C,0,0
2025-03-31,0,12,30,LHC-D,44,0
2025-03-31,0,13,15,Girls Hostel,6,0
2025-03-31,0,17,30,LHC-C,30,0
2025-03-31,0,21,0,Library,12,0
2025-04-01,1,7,30,Karavali Hostel,54,0
2025-04-01,1,12,0,LHC-C,58,0
2025-04-01,1,17,15,Adke Circle,32,0
2025-04-01,1,20,30,Guest House,8,0
2025-04-01,1,22,0,Library,16,0
2025-04-02,2,8,0,Girls Hostel,50,0
2025-04-02,2,12,45,LHC-D,45,0
2025-04-02,2,17,0,Library,40,0
2025-04-02,2,18,30,NITK Beach,30,0
2025-04-02,2,21,15,Mega Towers,23,0
2025-04-03,3,7,45,Girls Co-Op,53,0
2025-04-03,3,12,30,LHC-C,43,0
2025-04-03,3,17,45,LHC-D,44,0
2025-04-03,3,19,0,Adke Circle,15,0
2025-04-03,3,22,15,Library,6,0
2025-04-04,4,8,15,Mega Towers,48,0
2025-04-04,4,12,0,LHC-D,36,0
2025-04-04,4,16,30,LHC-C,39,0
2025-04-04,4,17,45,NITK Beach,46,0
2025-04-04,4,20,0,Adke Circle,22,0
2025-04-07,0,7,45,Mega Towers,45,0
2025-04-07,0,8,15,LHC-C,11,0
2025-04-07,0,12,30,LHC-D,57,0
2025-04-07,0,13,15,Girls Hostel,19,0
2025-04-07,0,17,30,LHC-C,43,0
2025-04-07,0,21,0,Library,25,0
2025-04-08,1,7,30,Karavali Hostel,41,0
2025-04-08,1,12,0,LHC-C,44,0
2025-04-08,1,17,15,Adke Circle,19,0
2025-04-08,1,20,30,Guest House,21,0
2025-04-08,1,22,0,Library,3,0
2025-04-09,2,8,0,Girls Hostel,36,0
2025-04-09,2,12,45,LHC-D,59,0
2025-04-09,2,17,0,Library,26,0
2025-04-09,2,18,30,NITK Beach,16,0
2025-04-09,2,21,15,Mega Towers,9,0
2025-04-10,3,7,45,Girls Co-Op,39,0
2025-04-10,3,12,30,LHC-C,57,0
2025-04-10,3,17,45,LHC-D,30,0
2025-04-10,3,19,0,Adke Circle,29,0
2025-04-10,3,22,15,Library,20,0
2025-04-11,4,8,15,Mega Towers,41,0
2025-04-11,4,12,0,LHC-D,50,0
2025-04-11,4,16,30,LHC-C,25,0
2025-04-11,4,17,45,NITK Beach,32,0
2025-04-11,4,20,0,Adke Circle,36,0
2025-04-14,0,7,45,Mega Towers,59,0
2025-04-14,0,8,15,LHC-C,0,0
2025-04-14,0,12,30,LHC-D,43,0
2025-04-14,0,13,15,Girls Hostel,5,0
2025-04-14,0,17,30,LHC-C,29,0
2025-04-14,0,21,0,Library,11,0
2025-04-15,1,7,30,Karavali Hostel,55,0
2025-04-15,1,12,0,LHC-C,59,0
2025-04-15,1,17,15,Adke Circle,33,0
2025-04-15,1,20,30,Guest House,7,0
2025-04-15,1,22,0,Library,17,0
2025-04-16,2,8,0,Girls Hostel,51,0
2025-04-16,2,12,45,LHC-D,44,0
2025-04-16,2,17,0,Library,41,0
2025-04-16,2,18,30,NITK Beach,31,0
2025-04-16,2,21,15,Mega Towers,24,0
2025-04-17,3,7,45,Girls Co-Op,54,0
2025-04-17,3,12,30,LHC-C,42,0
2025-04-17,3,17,45,LHC-D,45,0
2025-04-17,3,19,0,Adke Circle,14,0
2025-04-17,3,22,15,Library,5,0
2025-04-18,4,8,15,Mega Towers,47,0
2025-04-18,4,12,0,LHC-D,35,0
2025-04-18,4,16,30,LHC-C,40,0
2025-04-18,4,17,45,NITK Beach,47,0
2025-04-18,4,20,0,Adke Circle,21,0
2025-04-21,0,7,45,Mega Towers,44,0
2025-04-21,0,8,15,LHC-C,12,0
2025-04-21,0,12,30,LHC-D,58,0
2025-04-21,0,13,15,Girls Hostel,20,0
2025-04-21,0,17,30,LHC-C,44,0
2025-04-21,0,21,0,Library,26,0
2025-04-22,1,7,30,Karavali Hostel,40,0
2025-04-22,1,12,0,LHC-C,43,0
2025-04-22,1,17,15,Adke Circle,18,0
2025-04-22,1,20,30,Guest House,22,0
2025-04-22,1,22,0,Library,2,0
2025-04-23,2,8,0,Girls Hostel,35,0
2025-04-23,2,12,45,LHC-D,60,0
2025-04-23,2,17,0,Library,25,0
2025-04-23,2,18,30,NITK Beach,15,0
2025-04-23,2,21,15,Mega Towers,8,0
2025-04-24,3,7,45,Girls Co-Op,38,0
2025-04-24,3,12,30,LHC-C,58,0
2025-04-24,3,17,45,LHC-D,29,0
2025-04-24,3,19,0,Adke Circle,30,0
2025-04-24,3,22,15,Library,21,0
2025-04-25,4,8,15,Mega Towers,42,0
2025-04-25,4,12,0,LHC-D,51,0
2025-04-25,4,16,30,LHC-C,24,0
2025-04-25,4,17,45,NITK Beach,31,0
2025-04-25,4,20,0,Adke Circle,37,0
2025-04-28,0,7,45,Mega Towers,60,0
2025-04-28,0,8,15,LHC-C,0,0
2025-04-28,0,12,30,LHC-D,42,0
2025-04-28,0,13,15,Girls Hostel,4,0
2025-04-28,0,17,30,LHC-C,28,0
2025-04-28,0,21,0,Library,10,0
2025-04-29,1,7,30,Karavali Hostel,56,0
2025-04-29,1,12,0,LHC-C,60,0
2025-04-29,1,17,15,Adke Circle,34,0
2025-04-29,1,20,30,Guest House,6,0
2025-04-29,1,22,0,Library,18,0
2025-04-30,2,8,0,Girls Hostel,52,0
2025-04-30,2,12,45,LHC-D,43,0
2025-04-30,2,17,0,Library,42,0
2025-04-30,2,18,30,NITK Beach,32,0
2025-04-30,2,21,15,Mega Towers,25,0
2025-05-01,3,7,45,Girls Co-Op,55,0
2025-05-01,3,12,30,LHC-C,41,0
2025-05-01,3,17,45,LHC-D,46,0
2025-05-01,3,19,0,Adke Circle,13,0
2025-05-01,3,22,15,Library,4,0
2025-05-02,4,8,15,Mega Towers,46,0
2025-05-02,4,12,0,LHC-D,34,0
2025-05-02,4,16,30,LHC-C,41,0
2025-05-02,4,17,45,NITK Beach,48,0
2025-05-02,4,20,0,Adke Circle,20,0
2025-05-05,0,7,45,Mega Towers,43,0
2025-05-05,0,8,15,LHC-C,13,0
2025-05-05,0,12,30,LHC-D,59,0
2025-05-05,0,13,15,Girls Hostel,21,0
2025-05-05,0,17,30,LHC-C,45,0
2025-05-05,0,21,0,Library,27,0
2025-05-06,1,7,30,Karavali Hostel,39,0
2025-05-06,1,12,0,LHC-C,42,0
2025-05-06,1,17,15,Adke Circle,17,0
2025-05-06,1,20,30,Guest House,23,0
2025-05-06,1,22,0,Library,1,0
2025-05-07,2,8,0,Girls Hostel,34,0
2025-05-07,2,12,45,LHC-D,61,0
2025-05-07,2,17,0,Library,24,0
2025-05-07,2,18,30,NITK Beach,14,0
2025-05-07,2,21,15,Mega Towers,7,0
2025-05-08,3,7,45,Girls Co-Op,37,0
2025-05-08,3,12,30,LHC-C,59,0
2025-05-08,3,17,45,LHC-D,28,0
2025-05-08,3,19,0,Adke Circle,31,0
2025-05-08,3,22,15,Library,22,0
2025-05-09,4,8,15,Mega Towers,43,0
2025-05-09,4,12,0,LHC-D,52,0
2025-05-09,4,16,30,LHC-C,23,0
2025-05-09,4,17,45,NITK Beach,30,0
2025-05-09,4,20,0,Adke Circle,38,0
2025-05-12,0,7,45,Mega Towers,61,0
2025-05-12,0,8,15,LHC-C,0,0
2025-05-12,0,12,30,LHC-D,41,0
2025-05-12,0,13,15,Girls Hostel,3,0
2025-05-12,0,17,30,LHC-C,27,0
2025-05-12,0,21,0,Library,9,0
2025-05-13,1,7,30,Karavali Hostel,57,0
2025-05-13,1,12,0,LHC-C,61,0
2025-05-13,1,17,15,Adke Circle,35,0
2025-05-13,1,20,30,Guest House,5,0
2025-05-13,1,22,0,Library,19,0
2025-05-14,2,8,0,Girls Hostel,53,0
2025-05-14,2,12,45,LHC-D,42,0
2025-05-14,2,17,0,Library,43,0
2025-05-14,2,18,30,NITK Beach,33,0
2025-05-14,2,21,15,Mega Towers,26,0
2025-05-15,3,7,45,Girls Co-Op,56,0
2025-05-15,3,12,30,LHC-C,40,0
2025-05-15,3,17,45,LHC-D,47,0
2025-05-15,3,19,0,Adke Circle,12,0
2025-05-15,3,22,15,Library,3,0
2025-05-16,4,8,15,Mega Towers,45,0
2025-05-16,4,12,0,LHC-D,33,0
2025-05-16,4,16,30,LHC-C,42,0
2025-05-16,4,17,45,NITK Beach,49,0
2025-05-16,4,20,0,Adke Circle,19,0
2025-05-19,0,7,45,Mega Towers,42,0
2025-05-19,0,8,15,LHC-C,14,0
2025-05-19,0,12,30,LHC-D,60,0
2025-05-19,0,13,15,Girls Hostel,22,0
2025-05-19,0,17,30,LHC-C,46,0
2025-05-19,0,21,0,Library,28,0
2025-05-20,1,7,30,Karavali Hostel,38,0
2025-05-20,1,12,0,LHC-C,41,0
2025-05-20,1,17,15,Adke Circle,16,0
2025-05-20,1,20,30,Guest House,24,0
2025-05-20,1,22,0,Library,0,0
2025-05-21,2,8,0,Girls Hostel,33,0
2025-05-21,2,12,45,LHC-D,62,0
2025-05-21,2,17,0,Library,23,0
2025-05-21,2,18,30,NITK Beach,13,0
2025-05-21,2,21,15,Mega Towers,6,0
2025-05-22,3,7,45,Girls Co-Op,36,0
2025-05-22,3,12,30,LHC-C,60,0
2025-05-22,3,17,45,LHC-D,27,0
2025-05-22,3,19,0,Adke Circle,32,0
2025-05-22,3,22,15,Library,23,0
2025-05-23,4,8,15,Mega Towers,44,0
2025-05-23,4,12,0,LHC-D,53,0
2025-05-23,4,16,30,LHC-C,22,0
2025-05-23,4,17,45,NITK Beach,29,0
2025-05-23,4,20,0,Adke Circle,39,0
2025-08-15,4,8,15,LHC-C,0,1
2025-08-15,4,12,0,LHC-D,2,1
2025-08-15,4,16,30,Mega Towers,15,1
2025-08-15,4,17,45,NITK Beach,65,1
2025-08-15,4,20,0,Adke Circle,42,1
2025-10-02,3,7,45,Girls Co-Op,12,1
2025-10-02,3,12,30,LHC-C,3,1
2025-10-02,3,17,45,NITK Beach,58,1
2025-10-02,3,19,0,Adke Circle,35,1
2025-10-02,3,22,15,Library,5,1
